### MNXref Version 18/02/2013 ###
#
#FILE:	comp_xref.tsv
#
#RESOURCE:	The Gene Ontology
#PREFIX:	go
#URL:	http://www.geneontology.org
#VERSION:	09/06/2012
#LICENSE:	The GO Consortium gives permission for any of its products to be used 
#	without license for any purpose under three conditions: 
#	 1- That the Gene Ontology Consortium is clearly acknowledged as the source of 
#	the product; 
#	 2- That any GO Consortium file(s) displayed publicly include the date(s) and/or 
#	version number(s) of the relevant GO file(s) (the GO is evolving and changes will 
#	occur with time); 
#	 3- That neither the content of the GO file(s) nor the logical relationships embedded 
#	within the GO file(s) be altered in any way. 
#	(http://www.geneontology.org/GO.cite.shtml) 
#
#RESOURCE:	The Cell Component Ontology
#PREFIX:	cco
#URL:	http://bioinformatics.ai.sri.com/CCO/
#VERSION:	Version 16.5
#LICENSE:	MetaCyc data are free and open for all users. 
#	(http://biocyc.org/download.shtml) 
#
#RESOURCE:	BiGG
#PREFIX:	bigg
#URL:	http://bigg.ucsd.edu
#VERSION:	10/12/2012
#LICENSE:	Permission to use, copy, modify and distribute any part of this BiGG Database 
#	for educational, research and non-profit purposes, without fee, and without a 
#	written agreement is granted, provided that the above copyright notice, this paragraph 
#	and the following three paragraphs appear in all copies. 
#	Those desiring to incorporate this BiGG database into commercial products or use 
#	for commercial purposes should contact the Technology Transfer & Intellectual 
#	Property Services, University of California, San Diego, 9500 Gilman Drive, Mail 
#	Code 0910, La Jolla, CA 92093-0910, Ph: (858) 534-5815, FAX: (858) 534-7345, e-mail:invent@ucsd.edu. 
#	IN NO EVENT SHALL THE UNIVERSITY OF CALIFORNIA BE LIABLE TO ANY PARTY FOR DIRECT, 
#	INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES, INCLUDING LOST PROFITS, 
#	ARISING OUT OF THE USE OF THIS BIGG DATABASE, EVEN IF THE UNIVERSITY OF CALIFORNIA 
#	HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE. 
#	THE BIGG DATABASE PROVIDED HEREIN IS ON AN "AS IS" BASIS, AND THE UNIVERSITY OF 
#	CALIFORNIA HAS NO OBLIGATION TO PROVIDE MAINTENANCE, SUPPORT, UPDATES, ENHANCEMENTS, 
#	OR MODIFICATIONS. THE UNIVERSITY OF CALIFORNIA MAKES NO REPRESENTATIONS AND EXTENDS 
#	NO WARRANTIES OF ANY KIND, EITHER IMPLIED OR EXPRESS, INCLUDING, BUT NOT LIMITED 
#	TO, THE IMPLIED WARRANTIES OF MERCHANTABILITY OR FITNESS FOR A PARTICULAR PURPOSE, 
#	OR THAT THE USE OF THE BIGG DATABASE WILL NOT INFRINGE ANY PATENT, TRADEMARK OR 
#	OTHER RIGHTS. 
#	(http://bigg.ucsd.edu/) 
#
#
#XREF	MNX_ID	Description
go:0032116	MNXC6	SMC loading complex
go:0032117	MNXC1	horsetail-astral microtubule array|HAA
go:0032123	MNXC1	deep fiber|deep fibre
go:0032126	MNXC3	eisosome
go:0032127	MNXC3	dense core granule membrane|dense core vesicle membrane
go:0032133	MNXC1	chromosome passenger complex|CPC complex|chromosomal passenger complex
go:0032144	MNXC1	4-aminobutyrate transaminase complex|GABA transaminase complex|GABA-T complex|ABAT complex
go:0032151	MNXC3	mitotic septin complex
go:0032152	MNXC3	meiotic septin complex
go:0032153	MNXC1	cell division site|cell division plane
go:0032154	MNXC1	cleavage furrow
go:0032155	MNXC1	cell division site part|cell division plane part
go:0032156	MNXC1	septin cytoskeleton
go:0032157	MNXC3	prospore contractile ring
go:0032158	MNXC1	septin band
go:0032159	MNXC1	septin cap
go:0032160	MNXC1	septin filament array
go:0032161	MNXC3	cleavage apparatus septin structure
go:0032162	MNXC1	mating projection septin band
go:0032163	MNXC1	hyphal septin band
go:0032164	MNXC1	hyphal septin cap
go:0032165	MNXC1	prospore septin filament array
go:0032166	MNXC1	chlamydospore septin filament array
go:0032167	MNXC1	septin patch
go:0032168	MNXC3	hyphal septin ring
go:0032169	MNXC3	prospore septin ring
go:0032170	MNXC3	pseudohyphal septin ring
go:0032171	MNXC1	germ tube septin cap
go:0032172	MNXC1	germ tube septin ring
go:0032173	MNXC1	septin collar
go:0032174	MNXC3	cellular bud neck septin collar
go:0032175	MNXC1	mating projection septin ring
go:0032176	MNXC1	split septin rings
go:0032177	MNXC3	cellular bud neck split septin rings
go:0032178	MNXC20	medial membrane band
go:0032179	MNXC1	germ tube
go:0032195	MNXC9	post-lysosomal vacuole
go:0032221	MNXC6	Rpd3S complex|Clr6 histone deacetylase complex II'|Rpd3C(S)|Clr6S complex
go:0032279	MNXC1	asymmetric synapse
go:0032280	MNXC1	symmetric synapse
go:0032281	MNXC20	alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid selective glutamate receptor complex|AMPA-selective glutamate receptor complex
go:0032282	MNXC18	plastid acetyl-CoA carboxylase complex|plastid ACCase complex
go:0032283	MNXC18	plastid acetate CoA-transferase complex
go:0032284	MNXC18	plastid biotin carboxylase complex
go:0032299	MNXC1	ribonuclease H2 complex|RNase H2 complex
go:0032300	MNXC1	mismatch repair complex
go:0032301	MNXC6	MutSalpha complex|MSH2/MSH6 complex
go:0032302	MNXC6	MutSbeta complex|MSH2/MSH3 complex
go:0032311	MNXC2	angiogenin-PRI complex|angiogenin-placental ribonuclease inhibitor complex
go:0032389	MNXC6	MutLalpha complex|MLH1/PMS2 complex|MutL-alpha complex
go:0032390	MNXC6	MutLbeta complex|MLH1/PMS1 complex
go:0032391	MNXC1	photoreceptor connecting cilium
go:0032398	MNXC20	MHC class Ib protein complex
go:0032419	MNXC17	extrinsic to lysosome membrane|extrinsic to lysosomal membrane
go:0032420	MNXC1	stereocilium
go:0032421	MNXC1	stereocilium bundle|stereocilia bundle
go:0032426	MNXC1	stereocilium bundle tip
go:0032432	MNXC1	actin filament bundle
go:0032433	MNXC1	filopodium tip
go:0032437	MNXC3	cuticular plate
go:0032444	MNXC6	activin responsive factor complex|ARF complex
go:0032449	MNXC3	CBM complex|CARMA1-BCL10-Malt1 complex
go:0032473	MNXC5	external side of mitochondrial outer membrane|cytosolic side of mitochondrial outer membrane
go:0032476	MNXC1	decaprenyl diphosphate synthase complex
go:0032477	MNXC3	homodimeric decaprenyl diphosphate synthase complex
go:0032478	MNXC5	heterotetrameric decaprenyl diphosphate synthase complex
go:0032517	MNXC1	SOD1-calcineurin complex
go:0032541	MNXC11	cortical endoplasmic reticulum|cortical ER
go:0032545	MNXC6	CURI complex
go:0032578	MNXC3	aleurone grain membrane
go:0032579	MNXC1	apical lamina of hyaline layer
go:0032580	MNXC16	Golgi cisterna membrane|Golgi stack membrane
go:0032584	MNXC20	growth cone membrane
go:0032585	MNXC3	multivesicular body membrane|multivesicular endosome membrane|MVB membrane|MVE membrane
go:0032586	MNXC10	protein storage vacuole membrane
go:0032587	MNXC20	ruffle membrane
go:0032588	MNXC1	trans-Golgi network membrane|trans Golgi network membrane
go:0032589	MNXC20	neuron projection membrane
go:0032590	MNXC20	dendrite membrane
go:0032591	MNXC20	dendritic spine membrane
go:0032592	MNXC5	integral to mitochondrial membrane
go:0032593	MNXC3	insulin-responsive compartment|GLUT4 storage compartment
go:0032766	MNXC1	NHE3/E3KARP/ACTN4 complex|NHE3/E3KARP/alpha-actinin complex
go:0032777	MNXC6	Piccolo NuA4 histone acetyltransferase complex
go:0032783	MNXC6	ELL-EAF complex
go:0032797	MNXC1	SMN complex|survival motor neuron complex|SMN core complex
go:0032798	MNXC6	Swi5-Sfr1 complex|Sae3-Mei5 complex
go:0032806	MNXC6	carboxy-terminal domain protein kinase complex|CTDK complex
go:0032807	MNXC6	DNA ligase IV complex|DNA ligase IV-XRCC4 complex
go:0032809	MNXC20	neuronal cell body membrane|neuronal cell soma membrane|neuron cell body membrane
go:0032838	MNXC3	cell projection cytoplasm
go:0032839	MNXC3	dendrite cytoplasm|dendritic cytoplasm
go:0032865	MNXC5	ERMES complex|MMM1 complex|mitochore|Mdm10/Mdm12/Mmm1 complex|ER-mitochondria encounter structure
go:0032921	MNXC3	sarcosine oxidase complex
go:0032936	MNXC1	SREBP-SCAP complex|Sre1-Scp1 complex
go:0032937	MNXC11	SREBP-SCAP-Insig complex
go:0032969	MNXC1	endosomal scaffold complex|endosomal adaptor complex|MP1-p14 scaffolding complex
go:0032982	MNXC1	myosin filament
go:0032983	MNXC20	kainate selective glutamate receptor complex
go:0032991	MNXC1	macromolecular complex|macromolecule complex
go:0032992	MNXC1	protein-carbohydrate complex
go:0032993	MNXC1	protein-DNA complex|DNA-protein complex
go:0032994	MNXC1	protein-lipid complex
go:0032996	MNXC1	Bcl3-Bcl10 complex
go:0032997	MNXC20	Fc receptor complex|Fc-receptor complex|FcR complex
go:0032998	MNXC20	Fc-epsilon receptor I complex|FceRI complex
go:0032999	MNXC20	Fc-alpha receptor I complex|FcaRI complex
go:0033000	MNXC20	Fc-gamma receptor I complex|FcgRI complex
go:0033001	MNXC20	Fc-gamma receptor III complex|FcgRIII complex
go:0033009	MNXC18	nucleomorph
go:0033010	MNXC1	paranodal junction
go:0033011	MNXC3	perinuclear theca
go:0033012	MNXC20	porosome
go:0033016	MNXC1	rhoptry membrane
go:0033017	MNXC12	sarcoplasmic reticulum membrane
go:0033018	MNXC11	sarcoplasmic reticulum lumen
go:0033061	MNXC6	DNA recombinase mediator complex
go:0033062	MNXC6	Rhp55-Rhp57 complex|Rad55-Rad57 complex
go:0033063	MNXC6	Rad51B-Rad51C-Rad51D-XRCC2 complex|BCDX2 complex
go:0033064	MNXC6	XRCC2-RAD51D complex|DX2 complex
go:0033065	MNXC6	Rad51C-XRCC3 complex|CX3 complex
go:0033066	MNXC6	Rad51B-Rad51C complex|BC complex
go:0033093	MNXC3	Weibel-Palade body
go:0033095	MNXC3	aleurone grain|aleurone body
go:0033096	MNXC18	amyloplast envelope
go:0033097	MNXC18	amyloplast membrane
go:0033098	MNXC18	amyloplast inner membrane
go:0033099	MNXC1	attachment organelle
go:0033100	MNXC6	NuA3 histone acetyltransferase complex
go:0033101	MNXC20	cellular bud membrane|cellular bud plasma membrane
go:0033102	MNXC29	acidocalcisome membrane
go:0033104	MNXC1	type VI protein secretion system complex|T6SS complex
go:0033105	MNXC1	chlorosome envelope|chlorosome membrane
go:0033106	MNXC1	cis-Golgi network membrane|cis Golgi network membrane
go:0033107	MNXC3	CVT vesicle
go:0033110	MNXC3	CVT vesicle membrane
go:0033111	MNXC1	attachment organelle membrane
go:0033112	MNXC18	cyanelle envelope
go:0033113	MNXC18	cyanelle membrane
go:0033114	MNXC18	cyanelle thylakoid lumen
go:0033115	MNXC18	cyanelle thylakoid membrane
go:0033116	MNXC3	endoplasmic reticulum-Golgi intermediate compartment membrane|ER-Golgi intermediate compartment membrane
go:0033117	MNXC3	esterosome
go:0033118	MNXC3	esterosome membrane
go:0033150	MNXC3	cytoskeletal calyx
go:0033162	MNXC3	melanosome membrane
go:0033163	MNXC1	microneme membrane
go:0033165	MNXC2	interphotoreceptor matrix
go:0033166	MNXC2	hyaline layer
go:0033167	MNXC6	ARC complex|argonaute siRNA chaperone complex
go:0033172	MNXC3	gas vesicle shell|gas vesicle wall
go:0033174	MNXC8	chloroplast proton-transporting ATP synthase complex, catalytic core CF(1)|chloroplast proton-transporting F-type ATPase complex, catalytic core CF(1)
go:0033175	MNXC8	chloroplast proton-transporting ATP synthase complex, coupling factor CF(o)|chloroplast proton-transporting F-type ATPase complex, coupling factor CF(o)|chloroplast proton-transporting ATP synthase complex, coupling factor CF(0)
go:0033176	MNXC1	proton-transporting V-type ATPase complex|hydrogen-translocating V-type ATPase complex
go:0033177	MNXC1	proton-transporting two-sector ATPase complex, proton-transporting domain
go:0033178	MNXC1	proton-transporting two-sector ATPase complex, catalytic domain
go:0033179	MNXC1	proton-transporting V-type ATPase, V0 domain
go:0033180	MNXC1	proton-transporting V-type ATPase, V1 domain
go:0033181	MNXC20	plasma membrane proton-transporting V-type ATPase complex|plasma membrane hydrogen ion-transporting ATPase
go:0033185	MNXC1	dolichol-phosphate-mannose synthase complex|DPM synthase complex|dolichyl-phosphate beta-D-mannosyltransferase complex
go:0033186	MNXC6	CAF-1 complex|chromatin assembly factor 1 complex
go:0033193	MNXC1	Lsd1/2 complex|Swm complex|SAPHIRE complex
go:0033202	MNXC1	DNA helicase complex
go:0033203	MNXC6	DNA helicase A complex
go:0033254	MNXC3	vacuolar transporter chaperone complex|VTC complex
go:0033255	MNXC6	SAS acetyltransferase complex|SAS-I complex
go:0033256	MNXC1	I-kappaB/NF-kappaB complex
go:0033257	MNXC1	Bcl3/NF-kappaB2 complex|Bcl3-p52 complex
go:0033263	MNXC3	CORVET complex
go:0033267	MNXC1	axon part
go:0033268	MNXC1	node of Ranvier
go:0033269	MNXC1	internode region of axon|internode
go:0033270	MNXC1	paranode region of axon|paranode
go:0033276	MNXC6	transcription factor TFTC complex
go:0033281	MNXC20	TAT protein transport complex
go:0033282	MNXC1	protein C inhibitor-acrosin complex|SERPINA5-acrosin complex|PCI-acrosin complex|plasma serine protease inhibitor-acrosin complex|serpin A5-acrosin complex|PCI-ACR complex
go:0033289	MNXC1	intraconoid microtubule
go:0033290	MNXC3	eukaryotic 48S preinitiation complex|eukaryotic 48S pre-initiation complex
go:0033291	MNXC3	eukaryotic 80S initiation complex
go:0033309	MNXC6	SBF transcription complex|SBF complex
go:0033391	MNXC3	chromatoid body
go:0033503	MNXC1	HULC complex
go:0033551	MNXC1	monopolin complex
go:0033553	MNXC1	rDNA heterochromatin|ribosomal DNA heterochromatin
go:0033557	MNXC6	Slx1-Slx4 complex
go:0033565	MNXC3	ESCRT-0 complex|Vps27p-Hse1p complex|Hrs/STAM complex
go:0033573	MNXC20	high affinity iron permease complex
go:0033583	MNXC20	rhabdomere membrane
go:0033588	MNXC1	Elongator holoenzyme complex
go:0033593	MNXC1	BRCA2-MAGE-D1 complex
go:0033596	MNXC3	TSC1-TSC2 complex|tuberous sclerosis complex|tuberin-hamartin complex
go:0033597	MNXC6	mitotic checkpoint complex|MCC
go:0033607	MNXC1	SOD1-Bcl-2 complex
go:0033620	MNXC6	Mei2 nuclear dot|Mei2 dot
go:0033643	MNXC2	host cell part
go:0033644	MNXC2	host cell membrane
go:0033645	MNXC2	host cell endomembrane system
go:0033646	MNXC2	host intracellular part|host cell intracellular part
go:0033647	MNXC2	host intracellular organelle
go:0033648	MNXC2	host intracellular membrane-bounded organelle|host intracellular membrane-enclosed organelle
go:0033650	MNXC2	host cell mitochondrion|host mitochondria
go:0033651	MNXC2	host cell plastid
go:0033652	MNXC2	host cell chloroplast
go:0033653	MNXC2	host cell chloroplast part|host chloroplast component
go:0033654	MNXC2	host cell chloroplast thylakoid membrane
go:0033655	MNXC2	host cell cytoplasm part
go:0033675	MNXC3	pericanalicular vesicle
go:0033698	MNXC6	Rpd3L complex|Rpd3C(L)|Clr6L complex|Clr6 histone deacetylase complex I/I'
go:0033768	MNXC6	SUMO-targeted ubiquitin ligase complex
go:0033774	MNXC1	basal labyrinth
go:0033985	MNXC29	acidocalcisome lumen
go:0034044	MNXC15	exomer complex
go:0034045	MNXC3	pre-autophagosomal structure membrane|PAS membrane
go:0034060	MNXC18	cyanelle stroma
go:0034064	MNXC6	Tor2-Mei2-Ste11 complex
go:0034066	MNXC15	Ric1p-Rgp1p complex
go:0034081	MNXC3	polyketide synthase complex|PKS complex
go:0034082	MNXC3	type II polyketide synthase complex|type II PKS complex|type II PKS|type II polyketide synthase
go:0034083	MNXC3	type III polyketide synthase complex|type III PKS|type III PKS complex|type III polyketide synthase
go:0034098	MNXC12	Cdc48p-Npl4p-Ufd1p AAA ATPase complex
go:0034099	MNXC11	luminal surveillance complex
go:0034206	MNXC1	enhanceosome
go:0034245	MNXC4	mitochondrial DNA-directed RNA polymerase complex|mitochondrial RNA polymerase holoenzyme complex
go:0034270	MNXC3	CVT complex
go:0034271	MNXC3	phosphatidylinositol 3-kinase complex I|PtdIns-3-kinase complex I
go:0034272	MNXC3	phosphatidylinositol 3-kinase complex II|PtdIns-3-kinase complex II
go:0034273	MNXC3	Atg1p signaling complex|Atg1p signalling complex
go:0034274	MNXC3	Atg12-Atg5-Atg16 complex
go:0034357	MNXC1	photosynthetic membrane
go:0034358	MNXC2	plasma lipoprotein particle
go:0034359	MNXC2	mature chylomicron
go:0034360	MNXC2	chylomicron remnant
go:0034361	MNXC2	very-low-density lipoprotein particle|VLDL particle|very-low-density lipoprotein complex|VLDL complex
go:0034362	MNXC2	low-density lipoprotein particle|LDL complex|LDL particle|low-density lipoprotein complex
go:0034363	MNXC2	intermediate-density lipoprotein particle|intermediate-density lipoprotein complex|IDL particle|IDL complex
go:0034364	MNXC2	high-density lipoprotein particle|HDL particle|high-density lipoprotein class complex|HDL complex
go:0034365	MNXC2	discoidal high-density lipoprotein particle|discoidal HDL|nascent high-density lipoprotein particle|nascent HDL
go:0034366	MNXC2	spherical high-density lipoprotein particle|mature high-density lipoprotein particle|spherical HDL|mature HDL
go:0034385	MNXC2	triglyceride-rich lipoprotein particle|triacylglycerol-rich lipoprotein particle
go:0034388	MNXC6	Pwp2p-containing subcomplex of 90S preribosome|25-30 S subcomplex of 90S preribosome|UTP-B complex
go:0034399	MNXC6	nuclear periphery
go:0034400	MNXC18	gerontoplast
go:0034422	MNXC3	aleurone grain lumen
go:0034423	MNXC9	autophagic vacuole lumen
go:0034424	MNXC1	Vps55/Vps68 complex
go:0034425	MNXC18	etioplast envelope
go:0034426	MNXC18	etioplast membrane
go:0034430	MNXC3	monolayer-surrounded lipid storage body outer lipid monolayer|lipid storage body surface lipid monolayer|oleosome outer lipid monolayer|oil body outer lipid monolayer|spherosome outer lipid monolayer
go:0034448	MNXC10	EGO complex
go:0034449	MNXC3	GSE complex|GTPase-containing complex for Gap1p sorting in the endosome
go:0034451	MNXC3	centriolar satellite
go:0034455	MNXC6	t-UTP complex|Nan1p-containing subcomplex of 90S preribosome
go:0034456	MNXC6	UTP-C complex|Rrp7p-containing subcomplex of 90S preribosome
go:0034457	MNXC6	Mpp10 complex
go:0034464	MNXC1	BBSome|Bardet-Biedl syndrome complex
go:0034466	MNXC3	chromaffin granule lumen
go:0034467	MNXC3	esterosome lumen
go:0034468	MNXC23	glycosome lumen
go:0034469	MNXC15	Golgi stack lumen
go:0034492	MNXC3	hydrogenosome lumen
go:0034493	MNXC3	melanosome lumen
go:0034494	MNXC1	microneme lumen
go:0034495	MNXC9	protein storage vacuole lumen
go:0034506	MNXC1	chromosome, centromeric core region
go:0034507	MNXC1	chromosome, centromeric outer repeat region
go:0034515	MNXC3	proteasome storage granule|PSG
go:0034518	MNXC1	RNA cap binding complex
go:0034519	MNXC1	cytoplasmic RNA cap binding complex
go:0034591	MNXC1	rhoptry lumen
go:0034592	MNXC1	synaptic vesicle lumen
go:0034615	MNXC1	GCH1 complex|GTP cyclohydrolase I complex
go:0034646	MNXC1	organelle-enclosing lipid monolayer
go:0034657	MNXC1	GID complex
go:0034662	MNXC20	CFTR-NHERF-ezrin complex
go:0034663	MNXC11	endoplasmic reticulum chaperone complex|ER chaperone complex
go:0034664	MNXC11	Ig heavy chain-bound endoplasmic reticulum chaperone complex|Ig heavy chain-bound ER chaperone complex|immunoglobulin heavy chain-bound endoplasmic reticulum chaperone complex
go:0034665	MNXC20	alpha1-beta1 integrin complex|VLA-1 complex
go:0034666	MNXC20	alpha2-beta1 integrin complex|VLA-2 complex
go:0034667	MNXC20	alpha3-beta1 integrin complex|VLA-3 complex
go:0034668	MNXC20	alpha4-beta1 integrin complex|VLA-4 complex
go:0034669	MNXC20	alpha4-beta7 integrin complex
go:0034673	MNXC20	inhibin-betaglycan-ActRII complex
go:0034674	MNXC20	alpha5-beta1 integrin complex|VLA-5 complex
go:0034675	MNXC20	alpha6-beta1 integrin complex|VLA-6 complex
go:0034676	MNXC20	alpha6-beta4 integrin complex
go:0034677	MNXC20	alpha7-beta1 integrin complex
go:0034678	MNXC20	alpha8-beta1 integrin complex
go:0034679	MNXC20	alpha9-beta1 integrin complex
go:0034680	MNXC20	alpha10-beta1 integrin complex
go:0034681	MNXC20	alpha11-beta1 integrin complex
go:0034682	MNXC20	alphav-beta1 integrin complex
go:0034683	MNXC20	alphav-beta3 integrin complex
go:0034684	MNXC20	alphav-beta5 integrin complex
go:0034685	MNXC20	alphav-beta6 integrin complex
go:0034686	MNXC20	alphav-beta8 integrin complex
go:0034687	MNXC20	alphaL-beta2 integrin complex
go:0034688	MNXC20	alphaM-beta2 integrin complex
go:0034689	MNXC20	alphaX-beta2 integrin complex
go:0034690	MNXC20	alphaD-beta2 integrin complex
go:0034691	MNXC20	alphaE-beta7 integrin complex
go:0034692	MNXC6	E.F.G complex
go:0034693	MNXC6	U11/U12 snRNP|snRNP U11/U12
go:0034702	MNXC1	ion channel complex
go:0034703	MNXC1	cation channel complex
go:0034704	MNXC1	calcium channel complex
go:0034705	MNXC1	potassium channel complex
go:0034706	MNXC1	sodium channel complex
go:0034707	MNXC1	chloride channel complex
go:0034708	MNXC1	methyltransferase complex
go:0034709	MNXC3	methylosome|20S methylosome|20S methyltransferase complex
go:0034715	MNXC3	pICln-Sm protein complex|6S pICln complex
go:0034716	MNXC1	Gemin3-Gemin4-Gemin5 complex
go:0034717	MNXC1	Gemin6-Gemin7-unrip complex
go:0034718	MNXC1	SMN-Gemin2 complex
go:0034719	MNXC3	SMN-Sm protein complex
go:0034730	MNXC3	SmD-containing SMN-Sm protein complex
go:0034731	MNXC3	Lsm-containing SMN-Sm protein complex
go:0034732	MNXC6	transcription factor TFIIIB-alpha complex
go:0034733	MNXC6	transcription factor TFIIIB-beta complex
go:0034734	MNXC6	transcription factor TFIIIC1 complex
go:0034735	MNXC6	transcription factor TFIIIC2 complex
go:0034740	MNXC6	TFIIIC-TOP1-SUB1 complex|TFIIIC-Topoisomerase 1-PC4 complex
go:0034741	MNXC3	APC-tubulin-IQGAP1 complex
go:0034742	MNXC3	APC-Axin-1-beta-catenin complex
go:0034743	MNXC3	APC-IQGAP complex
go:0034744	MNXC3	APC-IQGAP1-Cdc42 complex
go:0034745	MNXC3	APC-IQGAP1-Rac1 complex
go:0034746	MNXC3	APC-IQGAP1-CLIP-170 complex
go:0034747	MNXC3	Axin-APC-beta-catenin-GSK3B complex
go:0034748	MNXC3	Par3-APC-KIF3A complex
go:0034749	MNXC3	Scrib-APC complex
go:0034750	MNXC3	Scrib-APC-beta-catenin complex
go:0034751	MNXC1	aryl hydrocarbon receptor complex|AhR complex|AHRC
go:0034752	MNXC3	cytosolic aryl hydrocarbon receptor complex|cytosolic AHRC|cytosolic AhR complex
go:0034753	MNXC6	nuclear aryl hydrocarbon receptor complex|nuclear AhR complex|nuclear AHRC
go:0034774	MNXC3	secretory granule lumen
go:0034777	MNXC3	recycling endosome lumen
go:0034967	MNXC6	Set3 complex|SET3C|HDAC3 complex
go:0034973	MNXC3	Sid2-Mob1 complex|Sid2p-Mob1p complex|Dbf2p-Mob1p complex|Sid2-Mob1 kinase complex
go:0034974	MNXC6	Swi5-Swi2 complex
go:0034977	MNXC1	ABIN2-NFKB1-MAP3K8 complex|ABIN2-NFKB1-TPL-1 complex
go:0034978	MNXC6	PDX1-PBX1b-MRG1 complex|acinar cell-specific C complex
go:0034980	MNXC6	FHL2-CREB complex
go:0034981	MNXC6	FHL3-CREB complex
go:0034985	MNXC4	Ecsit-NDUFAF1 complex
go:0034990	MNXC6	nuclear mitotic cohesin complex
go:0034991	MNXC6	nuclear meiotic cohesin complex
go:0034992	MNXC6	microtubule organizing center attachment site|MTOC attachment site|microtubule organising centre attachment site|MAS
go:0034993	MNXC6	SUN-KASH complex
go:0034995	MNXC20	SC5b-7 complex
go:0034996	MNXC3	RasGAP-Fyn-Lyn-Yes complex
go:0034997	MNXC20	alphav-beta5 integrin-vitronectin complex
go:0034998	MNXC12	oligosaccharyltransferase I complex|OSTCI
go:0034999	MNXC12	oligosaccharyltransferase II complex|OSTCII
go:0035000	MNXC12	oligosaccharyltransferase III complex|OSTCIII
go:0035003	MNXC20	subapical complex
go:0035012	MNXC1	polytene chromosome, telomeric region
go:0035032	MNXC3	phosphatidylinositol 3-kinase complex, class III|class III PI3K complex|phosphoinositide 3-kinase complex, class III
go:0035059	MNXC6	RCAF complex|replication-coupling assembly factor complex
go:0035060	MNXC6	brahma complex|BRM complex
go:0035061	MNXC6	interchromatin granule|ICG
go:0035062	MNXC6	omega speckle
go:0035068	MNXC1	micro-ribonucleoprotein complex|miRNP complex
go:0035085	MNXC1	cilium axoneme
go:0035086	MNXC3	flagellar axoneme|flagellum axoneme
go:0035097	MNXC6	histone methyltransferase complex
go:0035098	MNXC6	ESC/E(Z) complex|PRC2 complex|Extra Sex Combs/Enhancer of Zeste complex
go:0035101	MNXC6	FACT complex|Facilitates chromatin transcription complex
go:0035102	MNXC6	PRC1 complex|Polycomb repressive complex 1
go:0035145	MNXC6	exon-exon junction complex|EJC
go:0035182	MNXC2	female germline ring canal outer rim
go:0035183	MNXC2	female germline ring canal inner rim
go:0035189	MNXC6	Rb-E2F complex|retinoblastoma-E2F complex
go:0035230	MNXC1	cytoneme|membrane nanotube
go:0035253	MNXC1	ciliary rootlet
go:0035267	MNXC6	NuA4 histone acetyltransferase complex|TIP60 histone acetyltransferase complex|TIP60 histone acetylase complex
go:0035301	MNXC1	Hedgehog signaling complex|HSC|Hedgehog signalling complex
go:0035323	MNXC2	male germline ring canal
go:0035324	MNXC2	female germline ring canal
go:0035327	MNXC1	transcriptionally active chromatin
go:0035328	MNXC1	transcriptionally silent chromatin|transcriptionally inactive chromatin
go:0035339	MNXC12	SPOTS complex
go:0035354	MNXC20	Toll-like receptor 1-Toll-like receptor 2 protein complex|TLR2:TLR1 heterodimer|TLR1-TLR2 protein complex|TLR1:TLR2 complex|toll-like receptor TLR1:TLR2 heterodimeric complex
go:0035355	MNXC20	Toll-like receptor 2-Toll-like receptor 6 protein complex|TLR2:TLR6 heterodimer|TLR2-TLR6 protein complex|toll-like receptor TLR6:TLR2 heterodimeric complex|TLR6:TLR2 complex
go:0035361	MNXC1	Cul8-RING ubiquitin ligase complex
go:0035363	MNXC6	histone locus body|HLB
go:0035369	MNXC1	pre-B cell receptor complex|pre-BCR
go:0035370	MNXC1	UBC13-UEV1A complex
go:0035371	MNXC1	microtubule plus end|microtubule plus-end|growing microtubule plus end
go:0035448	MNXC1	extrinsic to thylakoid membrane|peripheral to thylakoid membrane
go:0035449	MNXC18	extrinsic to plastid thylakoid membrane|peripheral to plastid thylakoid membrane
go:0035450	MNXC18	extrinsic to lumenal side of plastid thylakoid membrane|peripheral to lumenal side of plastid thylakoid membrane
go:0035451	MNXC18	extrinsic to stromal side of plastid thylakoid membrane|peripheral to stromal side of plastid thylakoid membrane
go:0035452	MNXC18	extrinsic to plastid membrane|peripheral to plastid membrane
go:0035453	MNXC18	extrinsic to plastid inner membrane|peripheral to plastid inner membrane
go:0035454	MNXC18	extrinsic to stromal side of plastid inner membrane|peripheral to stromal side of plastid inner membrane
go:0035517	MNXC6	PR-DUB complex|Polycomb repressive deubiquitinase complex
go:0035525	MNXC1	NF-kappaB p50/p65 complex|NF-kappa p50/RelA complex|NF-kappa B1/RelA complex|NF-kappa B1/p65 complex
go:0035550	MNXC3	urease complex
go:0035577	MNXC10	azurophil granule membrane|primary granule membrane
go:0035578	MNXC17	azurophil granule lumen|primary granule lumen
go:0035579	MNXC3	specific granule membrane|secondary granule membrane
go:0035580	MNXC3	specific granule lumen|secondary granule lumen
go:0035618	MNXC1	root hair
go:0035619	MNXC1	root hair tip|root hair cell tip
go:0035631	MNXC20	CD40 receptor complex
go:0035632	MNXC5	mitochondrial prohibitin complex|mitochondrial inner membrane prohibitin complex
